album_name,artist_name
Petrichor,070 Shake
Songs from the Richest Man in the World - EP,Ben Rector
The Iconic Duo,Big Ant Dog & WillCallerosYT
Burnout,BoyWithUke
Sentimental,Carlita
Unbound - EP,Chelsea Wolfe
Trampolines,Chicane
The Crossroads,Cordae
Living Proof,Dave East & araabMUZIK
KING OF THE MISCHIEVOUS SOUTH,Denzel Curry
"Smoky Mountain DNA: Family, Faith and Fables",Dolly Parton & Family
Brighter Days,Dwight Yoakam
うでやこえのうた,emamouse
I've Never Been Here Before: The Director's Cut,Erick the Architect
Synapse,Farius
Access All Areas,FLO
Bouquet,Gwen Stefani
The Last Doll,Kash Doll
From Zero,Linkin Park
Gratitude,Mary J. Blige
Merry Christmas Baby - EP,Mason Ramsey
Late Night Talks,Matroda
Personification,Maxo Kream
Marietta - EP,Medium Build
MM..FOOD (20th Anniversary Edition),MF DOOM
AFTERCARE,Nessa Barrett
Bad Sisters (Season 2) [Original Series Soundtrack],PJ Harvey & Tim Phillips